"","id_trabajador","edad","genero","nivel_educativo","num_hijos","tipo_cargo","capacitado","jornada","antiguedad","empresa"
"31",31,60,"femenino","bachiller",1,"operativo",0,"diurna",7,32
"32",32,38,"femenino","bachiller",1,"operativo",1,"diurna",13,94
"33",33,46,"femenino","especializacion",0,"administrativo",1,"mixta",10,140
"34",34,39,"femenino","tecnico",1,"operativo",1,"nocturna",10,28
"35",35,19,"femenino","tecnico",0,"operativo",1,"diurna",8,60
"36",36,34,"masculino","tecnico",1,"administrativo",0,"mixta",8,52
"37",37,34,"femenino","tecnico",3,"operativo",0,"diurna",14,141
"38",38,39,"masculino","bachiller",0,"operativo",0,"diurna",6,142
"39",39,57,"femenino","tecnico",1,"operativo",1,"mixta",9,62
"40",40,51,"femenino","bachiller",0,"operativo",1,"nocturna",11,112
"41",41,38,"masculino","maestria",0,"administrativo",0,"nocturna",15,135
"42",42,36,"femenino","bachiller",2,"operativo",1,"nocturna",7,44
"43",43,50,"masculino","bachiller",0,"operativo",0,"diurna",9,75
"44",44,48,"masculino","bachiller",1,"operativo",0,"mixta",5,132
"45",45,30,"masculino","maestria",1,"administrativo",0,"mixta",8,52
"46",46,29,"masculino","universitario",0,"operativo",0,"mixta",8,40
"47",47,45,"femenino","maestria",0,"administrativo",0,"diurna",15,77
"48",48,52,"masculino","tecnico",0,"administrativo",1,"diurna",12,27
"49",49,38,"masculino","tecnico",0,"operativo",0,"diurna",10,144
"50",50,53,"femenino","tecnico",2,"operativo",0,"mixta",14,17
"51",51,46,"femenino","bachiller",0,"operativo",1,"diurna",9,21
"52",52,31,"femenino","bachiller",0,"operativo",0,"diurna",10,11
"53",53,45,"femenino","universitario",3,"administrativo",0,"diurna",11,23
"54",54,23,"masculino","maestria",5,"administrativo",0,"mixta",17,52
"55",55,61,"femenino","bachiller",3,"administrativo",0,"mixta",13,146
"56",56,70,"masculino","tecnico",3,"operativo",1,"mixta",12,43
"57",57,34,"femenino","universitario",1,"operativo",1,"mixta",4,109
"58",58,24,"masculino","tecnico",0,"operativo",1,"diurna",11,54
"59",59,49,"femenino","tecnico",0,"administrativo",1,"diurna",11,4
"60",60,38,"femenino","universitario",0,"operativo",1,"diurna",6,129
"61",61,76,"masculino","universitario",2,"operativo",0,"diurna",10,140
"62",62,39,"femenino","tecnico",0,"operativo",1,"mixta",11,150
"63",63,50,"femenino","tecnico",2,"administrativo",0,"nocturna",12,125
"64",64,40,"femenino","bachiller",0,"administrativo",0,"nocturna",13,98
"65",65,29,"masculino","tecnico",2,"operativo",0,"diurna",11,10
"66",66,43,"masculino","tecnico",0,"operativo",0,"nocturna",14,9
"67",67,18,"masculino","tecnico",2,"operativo",0,"diurna",13,34
"68",68,62,"masculino","tecnico",1,"operativo",1,"mixta",15,21
"69",69,42,"femenino","bachiller",1,"administrativo",0,"mixta",15,135
"70",70,73,"masculino","bachiller",0,"administrativo",0,"diurna",13,48
"71",71,47,"femenino","bachiller",2,"operativo",0,"diurna",12,100
"72",72,29,"masculino","bachiller",2,"operativo",0,"diurna",6,75
"73",73,49,"femenino","bachiller",3,"operativo",1,"nocturna",8,120
"74",74,26,"masculino","bachiller",4,"operativo",0,"diurna",7,101
"75",75,21,"femenino","bachiller",1,"administrativo",1,"mixta",3,37
"76",76,44,"masculino","universitario",1,"operativo",0,"diurna",5,92
"77",77,33,"masculino","bachiller",0,"operativo",1,"diurna",6,72
"78",78,40,"masculino","tecnico",0,"operativo",0,"mixta",8,138
"79",79,41,"masculino","tecnico",2,"operativo",0,"diurna",10,102
"80",80,31,"femenino","tecnico",2,"operativo",1,"diurna",20,131
"81",81,31,"masculino","tecnico",2,"administrativo",0,"diurna",11,97
"82",82,38,"femenino","universitario",2,"operativo",0,"diurna",10,102
"83",83,58,"femenino","bachiller",1,"operativo",1,"diurna",10,41
"84",84,18,"femenino","tecnico",0,"administrativo",1,"nocturna",8,122
"85",85,49,"masculino","bachiller",4,"administrativo",0,"diurna",7,89
"86",86,45,"masculino","tecnico",3,"operativo",1,"diurna",9,43
"87",87,56,"femenino","tecnico",0,"operativo",0,"diurna",9,60
"88",88,35,"femenino","bachiller",1,"administrativo",0,"diurna",9,46
"89",89,46,"femenino","universitario",2,"operativo",1,"nocturna",3,110
"90",90,44,"masculino","tecnico",3,"administrativo",0,"nocturna",12,39
"91",91,32,"masculino","tecnico",0,"operativo",0,"diurna",17,5
"92",92,58,"masculino","tecnico",0,"operativo",1,"diurna",7,108
"93",93,57,"masculino","tecnico",1,"operativo",1,"diurna",12,39
"94",94,51,"femenino","tecnico",2,"operativo",1,"diurna",11,88
"95",95,64,"femenino","tecnico",3,"operativo",1,"mixta",13,92
"96",96,48,"masculino","bachiller",0,"operativo",0,"diurna",8,34
"97",97,21,"masculino","tecnico",1,"administrativo",1,"diurna",14,91
"98",98,31,"masculino","bachiller",0,"operativo",0,"nocturna",4,71
"99",99,22,"femenino","bachiller",0,"operativo",0,"diurna",8,40
"100",100,33,"masculino","tecnico",2,"operativo",0,"diurna",9,57
"101",101,31,"femenino","bachiller",2,"operativo",0,"diurna",12,129
"102",102,41,"masculino","tecnico",2,"operativo",0,"nocturna",12,22
"103",103,26,"masculino","tecnico",0,"operativo",0,"nocturna",10,54
"104",104,42,"femenino","tecnico",2,"operativo",0,"diurna",5,64
"105",105,30,"masculino","bachiller",1,"operativo",0,"diurna",11,109
"106",106,67,"femenino","tecnico",1,"operativo",1,"diurna",4,113
"107",107,51,"femenino","tecnico",0,"operativo",1,"mixta",14,70
"108",108,54,"femenino","tecnico",1,"operativo",0,"mixta",14,98
"109",109,46,"femenino","bachiller",0,"administrativo",0,"diurna",13,125
"110",110,65,"masculino","bachiller",0,"administrativo",1,"nocturna",10,122
"111",111,30,"masculino","bachiller",1,"operativo",1,"mixta",8,108
"112",112,33,"masculino","universitario",0,"operativo",0,"diurna",12,132
"113",113,61,"masculino","tecnico",0,"operativo",0,"diurna",13,34
"114",114,30,"femenino","tecnico",0,"operativo",1,"diurna",12,53
"115",115,37,"femenino","tecnico",3,"operativo",0,"diurna",6,42
"116",116,34,"masculino","tecnico",2,"operativo",1,"mixta",16,84
"117",117,35,"femenino","tecnico",2,"operativo",0,"diurna",5,11
"118",118,36,"femenino","bachiller",2,"administrativo",1,"nocturna",14,135
"119",119,47,"masculino","maestria",0,"administrativo",0,"diurna",14,116
"120",120,37,"femenino","tecnico",1,"operativo",1,"diurna",11,141
"121",121,32,"masculino","bachiller",2,"operativo",1,"diurna",4,107
"122",122,60,"femenino","bachiller",2,"operativo",0,"diurna",16,51
"123",123,37,"femenino","maestria",2,"administrativo",0,"nocturna",13,81
"124",124,37,"masculino","tecnico",0,"operativo",0,"nocturna",9,49
"125",125,38,"masculino","bachiller",1,"operativo",1,"diurna",13,7
"126",126,51,"femenino","universitario",1,"operativo",1,"nocturna",16,6
"127",127,39,"femenino","tecnico",2,"administrativo",0,"diurna",12,21
"128",128,39,"masculino","bachiller",1,"operativo",0,"diurna",10,19
"129",129,30,"masculino","universitario",3,"operativo",1,"diurna",4,60
"130",130,35,"masculino","bachiller",1,"operativo",1,"nocturna",14,146
"131",131,41,"masculino","bachiller",0,"operativo",1,"diurna",8,22
"132",132,31,"femenino","tecnico",1,"operativo",1,"diurna",13,98
"133",133,48,"masculino","bachiller",1,"operativo",1,"diurna",13,47
"134",134,18,"masculino","tecnico",0,"operativo",0,"diurna",11,127
"135",135,45,"masculino","bachiller",3,"administrativo",1,"diurna",15,142
"136",136,18,"masculino","tecnico",1,"administrativo",1,"diurna",7,124
"137",137,35,"masculino","tecnico",0,"operativo",1,"diurna",12,98
"138",138,32,"masculino","tecnico",0,"operativo",0,"mixta",14,82
"139",139,30,"masculino","bachiller",1,"operativo",1,"nocturna",11,9
"140",140,39,"masculino","tecnico",1,"operativo",0,"diurna",14,17
"141",141,18,"masculino","bachiller",1,"operativo",1,"diurna",4,12
"142",142,58,"masculino","bachiller",0,"operativo",1,"diurna",7,8
"143",143,18,"femenino","tecnico",2,"operativo",1,"diurna",11,128
"144",144,33,"masculino","bachiller",3,"administrativo",0,"nocturna",11,147
"145",145,23,"masculino","tecnico",3,"operativo",0,"diurna",12,118
"146",146,29,"femenino","universitario",0,"operativo",0,"diurna",10,45
"147",147,71,"femenino","tecnico",1,"operativo",0,"diurna",6,48
"148",148,40,"femenino","bachiller",3,"administrativo",0,"diurna",12,137
"149",149,21,"masculino","tecnico",1,"administrativo",0,"diurna",11,81
"150",150,18,"femenino","bachiller",0,"operativo",0,"mixta",6,138
"151",151,47,"masculino","bachiller",2,"operativo",0,"diurna",9,109
"152",152,40,"femenino","tecnico",0,"operativo",0,"diurna",14,103
"153",153,35,"femenino","tecnico",3,"operativo",0,"diurna",6,1
"154",154,26,"masculino","tecnico",0,"administrativo",1,"nocturna",9,68
"155",155,18,"masculino","universitario",2,"operativo",0,"mixta",13,108
"156",156,24,"masculino","bachiller",0,"administrativo",0,"nocturna",7,73
"157",157,55,"masculino","tecnico",0,"operativo",0,"nocturna",4,149
"158",158,31,"masculino","bachiller",0,"operativo",1,"mixta",15,9
"159",159,19,"femenino","bachiller",1,"operativo",1,"mixta",15,40
"160",160,68,"femenino","bachiller",0,"administrativo",0,"diurna",10,44
"161",161,46,"femenino","especializacion",4,"administrativo",0,"mixta",11,90
"162",162,36,"femenino","maestria",1,"administrativo",1,"mixta",10,99
"163",163,56,"femenino","bachiller",1,"operativo",1,"diurna",10,33
"164",164,53,"femenino","universitario",3,"operativo",0,"mixta",13,111
"165",165,31,"femenino","bachiller",2,"operativo",0,"mixta",14,21
"166",166,73,"femenino","tecnico",2,"operativo",0,"nocturna",9,55
"167",167,36,"masculino","bachiller",3,"operativo",0,"diurna",11,147
"168",168,19,"masculino","tecnico",0,"operativo",1,"diurna",13,18
"169",169,38,"masculino","bachiller",2,"operativo",0,"diurna",11,8
"170",170,43,"femenino","tecnico",1,"operativo",0,"mixta",2,93
"171",171,75,"masculino","tecnico",1,"operativo",1,"diurna",1,133
"172",172,42,"femenino","bachiller",0,"operativo",0,"mixta",12,15
"173",173,47,"femenino","bachiller",1,"operativo",0,"mixta",15,70
"174",174,39,"femenino","tecnico",3,"operativo",1,"diurna",5,145
"175",175,35,"masculino","tecnico",0,"operativo",1,"diurna",12,26
"176",176,39,"masculino","universitario",1,"operativo",0,"nocturna",11,139
"177",177,52,"masculino","tecnico",2,"operativo",0,"diurna",13,109
"178",178,71,"masculino","bachiller",2,"operativo",0,"diurna",15,122
"179",179,55,"femenino","tecnico",0,"operativo",1,"diurna",11,1
"180",180,58,"femenino","tecnico",1,"operativo",1,"nocturna",8,129
"181",181,22,"femenino","tecnico",0,"operativo",0,"diurna",19,117
"182",182,55,"masculino","tecnico",0,"operativo",0,"diurna",19,60
"183",183,43,"femenino","tecnico",0,"operativo",1,"nocturna",15,141
"184",184,18,"masculino","universitario",0,"administrativo",0,"mixta",9,48
"185",185,48,"masculino","bachiller",0,"operativo",0,"mixta",12,47
"186",186,38,"femenino","tecnico",1,"operativo",1,"nocturna",8,127
"187",187,62,"masculino","bachiller",3,"operativo",0,"mixta",14,41
"188",188,29,"masculino","universitario",0,"operativo",1,"diurna",12,60
"189",189,34,"masculino","bachiller",1,"operativo",0,"diurna",3,14
"190",190,26,"masculino","bachiller",1,"administrativo",1,"diurna",7,15
"191",191,37,"femenino","bachiller",1,"operativo",0,"diurna",2,117
"192",192,46,"femenino","tecnico",3,"administrativo",0,"diurna",15,145
"193",193,29,"masculino","maestria",1,"administrativo",1,"mixta",9,95
"194",194,52,"femenino","bachiller",1,"operativo",0,"diurna",6,99
"195",195,22,"masculino","tecnico",2,"operativo",1,"diurna",10,73
"196",196,24,"femenino","bachiller",1,"operativo",1,"mixta",11,115
"197",197,62,"femenino","bachiller",2,"administrativo",1,"diurna",6,40
"198",198,25,"femenino","bachiller",3,"operativo",0,"mixta",10,64
"199",199,46,"femenino","bachiller",1,"operativo",0,"diurna",8,71
"200",200,34,"masculino","bachiller",0,"operativo",0,"diurna",13,111
"201",201,46,"masculino","tecnico",2,"operativo",1,"diurna",18,93
"202",202,65,"femenino","tecnico",3,"administrativo",1,"mixta",13,54
"203",203,64,"masculino","tecnico",1,"operativo",0,"diurna",10,5
"204",204,35,"femenino","tecnico",1,"operativo",0,"diurna",12,100
"205",205,18,"masculino","tecnico",3,"operativo",0,"diurna",15,8
"206",206,77,"femenino","tecnico",1,"operativo",0,"diurna",5,56
"207",207,50,"femenino","bachiller",2,"operativo",0,"diurna",8,7
"208",208,48,"masculino","bachiller",2,"operativo",1,"diurna",12,11
"209",209,40,"femenino","bachiller",3,"operativo",0,"diurna",4,78
"210",210,48,"femenino","bachiller",0,"operativo",1,"diurna",15,51
"211",211,38,"masculino","tecnico",2,"operativo",0,"diurna",10,47
"212",212,46,"masculino","tecnico",1,"administrativo",0,"diurna",4,20
"213",213,34,"masculino","especializacion",1,"administrativo",1,"diurna",7,110
"214",214,19,"masculino","universitario",0,"operativo",0,"mixta",8,2
"215",215,55,"femenino","maestria",0,"administrativo",1,"nocturna",6,54
"216",216,63,"femenino","bachiller",4,"operativo",1,"diurna",16,75
"217",217,35,"femenino","bachiller",0,"operativo",1,"diurna",9,85
"218",218,21,"femenino","bachiller",0,"operativo",1,"mixta",10,33
"219",219,50,"masculino","tecnico",2,"operativo",0,"diurna",6,107
"220",220,39,"femenino","bachiller",2,"operativo",1,"mixta",8,84
"221",221,18,"masculino","bachiller",1,"operativo",1,"diurna",9,66
"222",222,40,"femenino","tecnico",2,"operativo",0,"mixta",5,28
"223",223,31,"masculino","tecnico",1,"administrativo",0,"diurna",14,31
"224",224,35,"masculino","tecnico",1,"operativo",1,"diurna",12,86
"225",225,23,"masculino","universitario",1,"administrativo",0,"diurna",8,106
"226",226,67,"masculino","tecnico",2,"operativo",0,"mixta",15,40
"227",227,35,"masculino","tecnico",3,"operativo",0,"mixta",10,22
"228",228,18,"femenino","tecnico",0,"operativo",0,"diurna",7,34
"229",229,43,"femenino","universitario",0,"operativo",1,"diurna",8,139
"230",230,44,"masculino","especializacion",1,"administrativo",1,"nocturna",2,120
"231",231,25,"masculino","universitario",1,"operativo",0,"nocturna",14,138
"232",232,18,"femenino","bachiller",1,"administrativo",1,"diurna",8,94
"233",233,30,"femenino","tecnico",1,"operativo",1,"diurna",10,91
"234",234,49,"masculino","tecnico",1,"operativo",0,"nocturna",9,44
"235",235,39,"masculino","tecnico",1,"operativo",0,"nocturna",16,139
"236",236,39,"masculino","bachiller",3,"operativo",1,"diurna",4,39
"237",237,48,"femenino","tecnico",1,"administrativo",0,"diurna",10,18
"238",238,22,"masculino","bachiller",0,"operativo",1,"diurna",10,143
"239",239,56,"masculino","bachiller",1,"operativo",1,"nocturna",10,58
"240",240,40,"masculino","tecnico",1,"operativo",0,"diurna",8,142
"241",241,51,"femenino","tecnico",0,"operativo",0,"diurna",8,20
"242",242,56,"femenino","bachiller",2,"operativo",1,"diurna",11,110
"243",243,43,"femenino","tecnico",2,"operativo",0,"diurna",6,7
"244",244,27,"femenino","universitario",0,"operativo",0,"diurna",16,4
"245",245,57,"masculino","maestria",2,"administrativo",1,"diurna",9,54
"246",246,18,"femenino","tecnico",1,"operativo",0,"diurna",18,25
"247",247,32,"masculino","bachiller",0,"operativo",1,"diurna",8,145
"248",248,36,"masculino","tecnico",4,"operativo",1,"mixta",10,79
"249",249,38,"femenino","bachiller",2,"administrativo",0,"diurna",3,103
"250",250,55,"femenino","tecnico",2,"operativo",1,"diurna",13,104
"251",251,42,"femenino","universitario",0,"administrativo",0,"diurna",4,84
"252",252,46,"masculino","bachiller",0,"operativo",1,"mixta",0,132
"253",253,39,"femenino","bachiller",2,"operativo",1,"diurna",5,7
"254",254,36,"femenino","bachiller",1,"operativo",1,"nocturna",9,124
"255",255,50,"masculino","universitario",0,"operativo",0,"nocturna",8,92
"256",256,57,"masculino","bachiller",1,"operativo",1,"mixta",8,146
"257",257,18,"masculino","bachiller",0,"operativo",1,"diurna",7,14
"258",258,49,"masculino","bachiller",1,"administrativo",0,"mixta",17,82
"259",259,46,"masculino","bachiller",3,"operativo",1,"diurna",10,120
"260",260,34,"masculino","tecnico",3,"administrativo",0,"mixta",11,139
"261",261,54,"masculino","universitario",2,"administrativo",0,"diurna",7,148
"262",262,34,"masculino","bachiller",3,"operativo",1,"diurna",4,77
"263",263,36,"masculino","tecnico",1,"operativo",1,"mixta",21,86
"264",264,53,"femenino","tecnico",1,"operativo",1,"nocturna",14,88
"265",265,66,"masculino","tecnico",3,"operativo",1,"diurna",14,11
"266",266,44,"masculino","universitario",2,"operativo",1,"nocturna",12,98
"267",267,34,"femenino","bachiller",0,"operativo",0,"nocturna",8,14
"268",268,22,"masculino","universitario",0,"operativo",1,"diurna",10,93
"269",269,35,"masculino","tecnico",1,"operativo",0,"mixta",6,2
"270",270,26,"masculino","tecnico",0,"administrativo",0,"diurna",15,119
"271",271,36,"masculino","especializacion",0,"administrativo",0,"nocturna",13,118
"272",272,46,"femenino","especializacion",2,"administrativo",1,"nocturna",11,75
"273",273,27,"femenino","tecnico",3,"operativo",0,"mixta",9,101
"274",274,80,"femenino","bachiller",3,"operativo",1,"mixta",6,142
"275",275,42,"femenino","universitario",0,"operativo",1,"mixta",11,104
"276",276,57,"femenino","tecnico",1,"administrativo",1,"diurna",20,54
"277",277,18,"masculino","tecnico",0,"operativo",0,"diurna",14,139
"278",278,51,"femenino","bachiller",0,"administrativo",1,"nocturna",13,88
"279",279,20,"femenino","bachiller",0,"administrativo",0,"diurna",16,6
"280",280,54,"femenino","bachiller",0,"operativo",0,"diurna",15,92
"281",281,46,"masculino","bachiller",0,"administrativo",1,"diurna",18,137
"282",282,34,"masculino","tecnico",0,"operativo",1,"diurna",13,10
"283",283,60,"masculino","tecnico",0,"administrativo",0,"nocturna",4,149
"284",284,29,"masculino","universitario",1,"operativo",1,"mixta",8,80
"285",285,31,"femenino","bachiller",0,"operativo",0,"nocturna",11,113
"286",286,25,"masculino","tecnico",1,"operativo",1,"diurna",8,40
"287",287,30,"femenino","tecnico",1,"operativo",0,"mixta",11,5
"288",288,54,"masculino","tecnico",5,"operativo",0,"diurna",12,96
"289",289,47,"masculino","universitario",2,"operativo",1,"nocturna",9,80
"290",290,55,"femenino","tecnico",2,"operativo",0,"diurna",14,10
"291",291,34,"masculino","bachiller",2,"operativo",1,"diurna",7,37
"292",292,46,"masculino","bachiller",1,"operativo",0,"nocturna",17,25
"293",293,44,"masculino","universitario",0,"operativo",0,"diurna",6,109
"294",294,19,"femenino","tecnico",2,"operativo",0,"nocturna",10,62
"295",295,67,"masculino","universitario",0,"operativo",1,"diurna",3,118
"296",296,42,"masculino","tecnico",1,"administrativo",0,"diurna",10,105
"297",297,51,"masculino","bachiller",4,"operativo",1,"mixta",9,24
"298",298,54,"masculino","bachiller",3,"operativo",1,"nocturna",6,5
"299",299,39,"femenino","bachiller",2,"administrativo",1,"diurna",1,51
"300",300,35,"masculino","tecnico",1,"operativo",0,"diurna",7,140
"301",301,53,"femenino","especializacion",0,"administrativo",0,"nocturna",12,85
"302",302,24,"masculino","tecnico",0,"operativo",1,"diurna",9,57
"303",303,70,"masculino","tecnico",5,"operativo",0,"diurna",10,44
"304",304,34,"masculino","tecnico",2,"operativo",1,"diurna",8,103
"305",305,65,"femenino","universitario",2,"administrativo",1,"diurna",8,89
"306",306,63,"masculino","bachiller",2,"administrativo",0,"diurna",5,24
"307",307,41,"femenino","bachiller",2,"administrativo",0,"mixta",17,91
"308",308,49,"masculino","universitario",1,"administrativo",1,"diurna",9,109
"309",309,25,"femenino","tecnico",3,"operativo",1,"diurna",6,56
"310",310,45,"masculino","bachiller",4,"administrativo",0,"diurna",14,21
"311",311,56,"femenino","bachiller",1,"operativo",0,"diurna",14,93
"312",312,41,"femenino","tecnico",0,"operativo",1,"diurna",15,113
"313",313,33,"femenino","universitario",1,"operativo",1,"diurna",17,115
"314",314,30,"masculino","bachiller",1,"administrativo",0,"diurna",0,73
"315",315,39,"femenino","universitario",0,"operativo",0,"diurna",13,38
"316",316,56,"masculino","bachiller",3,"operativo",0,"diurna",15,76
"317",317,33,"masculino","tecnico",0,"operativo",1,"diurna",12,112
"318",318,38,"femenino","tecnico",2,"operativo",1,"nocturna",5,147
"319",319,21,"femenino","universitario",5,"administrativo",0,"diurna",9,144
"320",320,47,"femenino","bachiller",2,"operativo",1,"mixta",4,61
"321",321,60,"masculino","tecnico",0,"operativo",1,"nocturna",6,94
"322",322,62,"masculino","bachiller",0,"operativo",0,"nocturna",7,124
"323",323,52,"masculino","bachiller",2,"operativo",0,"nocturna",19,108
"324",324,18,"femenino","bachiller",0,"operativo",1,"diurna",10,28
"325",325,47,"masculino","tecnico",3,"operativo",0,"nocturna",13,13
"326",326,47,"femenino","bachiller",1,"administrativo",1,"nocturna",8,8
"327",327,35,"femenino","tecnico",3,"operativo",0,"nocturna",11,25
"328",328,43,"femenino","bachiller",2,"operativo",0,"nocturna",8,85
"329",329,27,"femenino","bachiller",4,"administrativo",1,"mixta",6,141
"330",330,50,"masculino","bachiller",3,"operativo",0,"diurna",8,17
"331",331,35,"masculino","bachiller",2,"operativo",1,"nocturna",13,88
"332",332,18,"femenino","tecnico",1,"operativo",1,"nocturna",9,56
"333",333,34,"masculino","tecnico",3,"operativo",0,"nocturna",14,53
"334",334,60,"masculino","tecnico",0,"operativo",0,"mixta",11,54
"335",335,35,"masculino","bachiller",0,"operativo",0,"diurna",10,123
"336",336,51,"femenino","bachiller",3,"operativo",1,"mixta",6,63
"337",337,54,"femenino","bachiller",2,"operativo",0,"diurna",5,53
"338",338,40,"femenino","tecnico",0,"administrativo",0,"nocturna",14,42
"339",339,35,"masculino","tecnico",3,"operativo",1,"diurna",10,116
"340",340,32,"masculino","tecnico",0,"operativo",1,"mixta",15,140
"341",341,51,"femenino","especializacion",1,"administrativo",1,"mixta",6,19
"342",342,24,"masculino","tecnico",0,"operativo",1,"diurna",6,33
"343",343,44,"femenino","universitario",1,"operativo",0,"diurna",3,92
"344",344,36,"masculino","bachiller",1,"operativo",1,"diurna",4,44
"345",345,18,"masculino","tecnico",1,"operativo",1,"nocturna",7,55
"346",346,19,"masculino","tecnico",1,"operativo",1,"diurna",14,102
"347",347,54,"femenino","tecnico",0,"operativo",1,"diurna",15,126
"348",348,37,"femenino","tecnico",0,"operativo",0,"nocturna",11,5
"349",349,52,"femenino","bachiller",0,"administrativo",0,"diurna",10,60
"350",350,68,"masculino","tecnico",3,"operativo",0,"mixta",12,42
"351",351,62,"femenino","bachiller",3,"operativo",0,"nocturna",12,103
"352",352,50,"masculino","tecnico",0,"operativo",1,"diurna",10,143
"353",353,46,"femenino","tecnico",4,"operativo",0,"diurna",5,117
"354",354,37,"femenino","tecnico",3,"operativo",0,"diurna",13,82
"355",355,64,"femenino","bachiller",0,"operativo",1,"diurna",9,124
"356",356,49,"masculino","tecnico",1,"operativo",0,"diurna",9,129
"357",357,22,"masculino","universitario",0,"operativo",0,"mixta",8,23
"358",358,38,"masculino","tecnico",2,"operativo",1,"nocturna",2,140
"359",359,18,"masculino","bachiller",0,"operativo",1,"nocturna",6,127
"360",360,37,"femenino","universitario",4,"operativo",1,"nocturna",19,41
"361",361,18,"femenino","bachiller",2,"operativo",0,"diurna",11,17
"362",362,60,"femenino","bachiller",0,"operativo",0,"mixta",1,69
"363",363,30,"femenino","bachiller",0,"operativo",1,"mixta",10,53
"364",364,34,"femenino","bachiller",2,"operativo",1,"mixta",10,68
"365",365,37,"masculino","tecnico",2,"operativo",0,"diurna",13,88
"366",366,49,"masculino","bachiller",0,"operativo",0,"diurna",8,35
"367",367,50,"masculino","bachiller",1,"operativo",0,"diurna",11,68
"368",368,49,"masculino","bachiller",1,"operativo",0,"diurna",13,89
"369",369,31,"masculino","universitario",1,"administrativo",1,"nocturna",18,148
"370",370,20,"femenino","bachiller",0,"operativo",0,"nocturna",14,38
"371",371,34,"masculino","tecnico",0,"operativo",1,"diurna",4,80
"372",372,44,"masculino","bachiller",0,"operativo",1,"diurna",14,139
"373",373,28,"masculino","tecnico",0,"operativo",1,"diurna",12,147
"374",374,39,"femenino","tecnico",0,"operativo",0,"mixta",9,18
"375",375,22,"femenino","universitario",2,"operativo",1,"diurna",13,128
"376",376,40,"masculino","tecnico",3,"operativo",0,"diurna",6,132
"377",377,42,"femenino","bachiller",4,"operativo",0,"diurna",12,64
"378",378,38,"femenino","tecnico",0,"operativo",1,"nocturna",11,50
"379",379,38,"masculino","universitario",1,"operativo",1,"diurna",14,23
"380",380,66,"femenino","bachiller",0,"operativo",0,"nocturna",3,140
"381",381,51,"femenino","bachiller",0,"operativo",0,"mixta",4,68
"382",382,57,"femenino","tecnico",1,"administrativo",1,"diurna",19,46
"383",383,26,"masculino","tecnico",0,"operativo",0,"diurna",12,43
"384",384,42,"femenino","bachiller",1,"administrativo",1,"diurna",13,33
"385",385,57,"masculino","bachiller",2,"operativo",1,"mixta",9,28
"386",386,39,"masculino","tecnico",2,"operativo",0,"diurna",11,91
"387",387,18,"masculino","tecnico",2,"operativo",0,"nocturna",1,32
"388",388,45,"femenino","tecnico",1,"operativo",0,"nocturna",14,138
"389",389,18,"femenino","tecnico",5,"operativo",1,"diurna",6,136
"390",390,28,"femenino","universitario",1,"operativo",0,"nocturna",9,25
"391",391,60,"masculino","universitario",0,"operativo",0,"diurna",7,128
"392",392,49,"masculino","tecnico",3,"operativo",0,"diurna",11,12
"393",393,56,"masculino","bachiller",1,"operativo",0,"nocturna",6,107
